t0,tf,angulo,delay_real,delay_ideal,jitter
280841053,280845539,90,4486,4166.666666666667,319.33333333333303
280848569,280852978,90,4409,4166.666666666667,242.33333333333303
280855992,280860427,90,4435,4166.666666666667,268.33333333333303
280864338,280868774,90,4436,4166.666666666667,269.33333333333303
280871819,280876224,90,4405,4166.666666666667,238.33333333333303
280881005,280885412,90,4407,4166.666666666667,240.33333333333303
280888463,280892868,90,4405,4166.666666666667,238.33333333333303
280897664,280902069,90,4405,4166.666666666667,238.33333333333303
280905125,280909531,90,4406,4166.666666666667,239.33333333333303
280914325,280918730,90,4405,4166.666666666667,238.33333333333303
280921795,280926231,90,4436,4166.666666666667,269.33333333333303
280930984,280935390,90,4406,4166.666666666667,239.33333333333303
280938445,280942849,90,4404,4166.666666666667,237.33333333333303
280947650,280952095,90,4445,4166.666666666667,278.33333333333303
280955138,280959543,90,4405,4166.666666666667,238.33333333333303
280964304,280968710,90,4406,4166.666666666667,239.33333333333303
280971768,280976205,90,4437,4166.666666666667,270.33333333333303
280980964,280985370,90,4406,4166.666666666667,239.33333333333303
280988426,280992832,90,4406,4166.666666666667,239.33333333333303
280997628,281002064,90,4436,4166.666666666667,269.33333333333303
281005109,281009515,90,4406,4166.666666666667,239.33333333333303
281014282,281018687,90,4405,4166.666666666667,238.33333333333303
281021744,281026150,90,4406,4166.666666666667,239.33333333333303
281030944,281035349,90,4405,4166.666666666667,238.33333333333303
281038407,281042822,90,4415,4166.666666666667,248.33333333333303
281047610,281052015,90,4405,4166.666666666667,238.33333333333303
281055063,281059469,90,4406,4166.666666666667,239.33333333333303
281064267,281068699,90,4432,4166.666666666667,265.33333333333303
281071742,281076148,90,4406,4166.666666666667,239.33333333333303
281080927,281085333,90,4406,4166.666666666667,239.33333333333303
281088381,281092787,90,4406,4166.666666666667,239.33333333333303
281097579,281101984,90,4405,4166.666666666667,238.33333333333303
281105047,281109453,90,4406,4166.666666666667,239.33333333333303
281114242,281118647,90,4405,4166.666666666667,238.33333333333303
281121712,281126118,90,4406,4166.666666666667,239.33333333333303
281130902,281135309,90,4407,4166.666666666667,240.33333333333303
281138369,281142773,90,4404,4166.666666666667,237.33333333333303
281147568,281151999,90,4431,4166.666666666667,264.33333333333303
281155046,281159482,90,4436,4166.666666666667,269.33333333333303
281164223,281168629,90,4406,4166.666666666667,239.33333333333303
281171696,281176102,90,4406,4166.666666666667,239.33333333333303
281180890,281185296,90,4406,4166.666666666667,239.33333333333303
281188346,281192751,90,4405,4166.666666666667,238.33333333333303
281197542,281201948,90,4406,4166.666666666667,239.33333333333303
281205006,281209410,90,4404,4166.666666666667,237.33333333333303
281214202,281218607,90,4405,4166.666666666667,238.33333333333303
281221672,281226105,90,4433,4166.666666666667,266.33333333333303
281230860,281235266,90,4406,4166.666666666667,239.33333333333303
281238328,281242741,90,4413,4166.666666666667,246.33333333333303
281247518,281251923,90,4405,4166.666666666667,238.33333333333303
281254986,281259392,90,4406,4166.666666666667,239.33333333333303
281264180,281268585,90,4405,4166.666666666667,238.33333333333303
281271651,281276083,90,4432,4166.666666666667,265.33333333333303
281280848,281285254,90,4406,4166.666666666667,239.33333333333303
281288309,281292715,90,4406,4166.666666666667,239.33333333333303
281297506,281301911,90,4405,4166.666666666667,238.33333333333303
281304969,281309384,90,4415,4166.666666666667,248.33333333333303
281314165,281318571,90,4406,4166.666666666667,239.33333333333303
281321629,281326033,90,4404,4166.666666666667,237.33333333333303
281330828,281335234,90,4406,4166.666666666667,239.33333333333303
281338289,281342694,90,4405,4166.666666666667,238.33333333333303
281347481,281351886,90,4405,4166.666666666667,238.33333333333303
281354959,281359391,90,4432,4166.666666666667,265.33333333333303
281364146,281368552,90,4406,4166.666666666667,239.33333333333303
281371610,281376016,90,4406,4166.666666666667,239.33333333333303
281380802,281385208,90,4406,4166.666666666667,239.33333333333303
281388271,281392677,90,4406,4166.666666666667,239.33333333333303
281397468,281401874,90,4406,4166.666666666667,239.33333333333303
281404927,281409332,90,4405,4166.666666666667,238.33333333333303
281414125,281418530,90,4405,4166.666666666667,238.33333333333303
281421591,281425996,90,4405,4166.666666666667,238.33333333333303
281430786,281435193,90,4407,4166.666666666667,240.33333333333303
281438248,281442653,90,4405,4166.666666666667,238.33333333333303
281447441,281451847,90,4406,4166.666666666667,239.33333333333303
281454910,281459316,90,4406,4166.666666666667,239.33333333333303
281464105,281468540,90,4435,4166.666666666667,268.33333333333303
281471582,281475989,90,4407,4166.666666666667,240.33333333333303
281480761,281485166,90,4405,4166.666666666667,238.33333333333303
281488231,281492636,90,4405,4166.666666666667,238.33333333333303
281497423,281501828,90,4405,4166.666666666667,238.33333333333303
281504896,281509302,90,4406,4166.666666666667,239.33333333333303
281514084,281518498,90,4414,4166.666666666667,247.33333333333303
281521546,281525951,90,4405,4166.666666666667,238.33333333333303
281530742,281535175,90,4433,4166.666666666667,266.33333333333303
281538219,281542624,90,4405,4166.666666666667,238.33333333333303
281547403,281551808,90,4405,4166.666666666667,238.33333333333303
281554869,281559275,90,4406,4166.666666666667,239.33333333333303
281564061,281568467,90,4406,4166.666666666667,239.33333333333303
281571530,281575936,90,4406,4166.666666666667,239.33333333333303
281580721,281585127,90,4406,4166.666666666667,239.33333333333303
281588189,281592595,90,4406,4166.666666666667,239.33333333333303
281597381,281601787,90,4406,4166.666666666667,239.33333333333303
281604849,281609255,90,4406,4166.666666666667,239.33333333333303
281614039,281618444,90,4405,4166.666666666667,238.33333333333303
281621512,281625918,90,4406,4166.666666666667,239.33333333333303
281630703,281635110,90,4407,4166.666666666667,240.33333333333303
281638166,281642572,90,4406,4166.666666666667,239.33333333333303
281647363,281651768,90,4405,4166.666666666667,238.33333333333303
281654828,281659233,90,4405,4166.666666666667,238.33333333333303
281664023,281668429,90,4406,4166.666666666667,239.33333333333303
