angle,t0_us,tf_us,delay_real_us,delay_ideal_us,jitter_us,delay_real_corr_us,jitter_corr_us
10,182512397,182513071,674,462.962962962963,211.037037037037,442.6608513700627,-20.302111592900303
10,182529081,182529770,689,462.962962962963,226.037037037037,457.6608513700627,-5.302111592900303
10,182545734,182546406,672,462.962962962963,209.037037037037,440.6608513700627,-22.302111592900303
10,182562402,182563092,690,462.962962962963,227.037037037037,458.6608513700627,-4.302111592900303
10,182579051,182579725,674,462.962962962963,211.037037037037,442.6608513700627,-20.302111592900303
10,182595778,182596462,684,462.962962962963,221.037037037037,452.6608513700627,-10.302111592900303
10,182612476,182613153,677,462.962962962963,214.037037037037,445.6608513700627,-17.302111592900303
10,182629105,182629790,685,462.962962962963,222.037037037037,453.6608513700627,-9.302111592900303
10,182645804,182646481,677,462.962962962963,214.037037037037,445.6608513700627,-17.302111592900303
10,182662427,182663111,684,462.962962962963,221.037037037037,452.6608513700627,-10.302111592900303
10,182679117,182679793,676,462.962962962963,213.037037037037,444.6608513700627,-18.302111592900303
10,182695754,182696438,684,462.962962962963,221.037037037037,452.6608513700627,-10.302111592900303
10,182712446,182713122,676,462.962962962963,213.037037037037,444.6608513700627,-18.302111592900303
10,182729186,182729871,685,462.962962962963,222.037037037037,453.6608513700627,-9.302111592900303
10,182745883,182746559,676,462.962962962963,213.037037037037,444.6608513700627,-18.302111592900303
10,182762518,182763202,684,462.962962962963,221.037037037037,452.6608513700627,-10.302111592900303
10,182779144,182779827,683,462.962962962963,220.037037037037,451.6608513700627,-11.302111592900303
10,182795842,182796532,690,462.962962962963,227.037037037037,458.6608513700627,-4.302111592900303
10,182812494,182813166,672,462.962962962963,209.037037037037,440.6608513700627,-22.302111592900303
10,182829172,182829860,688,462.962962962963,225.037037037037,456.6608513700627,-6.302111592900303
10,182845826,182846498,672,462.962962962963,209.037037037037,440.6608513700627,-22.302111592900303
10,182862508,182863197,689,462.962962962963,226.037037037037,457.6608513700627,-5.302111592900303
10,182879268,182879940,672,462.962962962963,209.037037037037,440.6608513700627,-22.302111592900303
10,182895962,182896651,689,462.962962962963,226.037037037037,457.6608513700627,-5.302111592900303
