angle,mean_jitter_us,std_jitter_us,min_jitter_us,max_jitter_us,valid_samples
10,218.14625205410186,7.1151259674285825,206.037037037037,248.037037037037,293
30,218.60083713850835,7.014214624427543,188.1111111111111,243.1111111111111,292
60,234.67255334804997,5.059234120855121,229.22222222222217,248.22222222222217,151
90,238.83675799086726,3.830155522195007,233.33333333333303,255.33333333333303,292
120,238.89307458143065,6.960919245506035,229.44444444444434,258.44444444444434,292
150,238.88541666666586,3.9348630241687177,233.55555555555475,258.55555555555475,288
