angle,mean_jitter_corr_us,std_jitter_corr_us,min_jitter_corr_us,max_jitter_corr_us,valid_samples
10,-13.192896575835457,7.115125967428578,-25.302111592900303,16.697888407099697,293
30,-12.73831149142908,7.014214624427549,-43.22803751882634,11.77196248117366,292
60,3.33340471811256,5.059234120855125,-2.1169264077152548,16.883073592284745,151
90,7.497609360930305,3.83015552219501,1.9941847033960585,23.99418470339606,292
120,7.553925951493673,6.960919245506033,-1.8947041854926283,27.10529581450737,292
150,7.546268036728886,3.9348630241687186,2.2164069256177754,27.216406925617775,288
